type,text
ham,wat makes u thk i'll fall down  but actually thk i'm quite prone 2 falls  lucky dad home ask come n fetch already 
spam,you 07801543489 guaranteed latests nokia phone  40gb ipod mp3 player £500 prize  txt word:collect no:83355  tc-llc ny-usa 150p/mt msgrcvd18+
ham,your account refilled successfully inr &lt;decimal&gt;   your keralacircle prepaid account balance rs &lt;decimal&gt;   your transaction id kr &lt;#&gt;  
ham,i wont touch permission 
spam,hi lucy hubby meetins day fri & i b alone hotel u fancy cumin over  pls leave msg 2day 09099726395 lucy x calls£1/minmobsmorelkpobox177hp51fl
ham,"7 wonders my world 7th you 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms 1st ""ur lovely friendship""    good morning dear"
ham,take small dose tablet fever
ham,oh  u must taken real valentine shopping first 
ham,just sent email – address incomm it  right 
ham,will do  gonna blake's night  i might able get little early
ham,friendship game play  it word say  it doesn\'t start march ends may  it tomorrow  yesterday  today e
ham,nice  wait   should texting right now  i'm gonna pay ticket  ya know 
ham,i'm watching lotr w sis dis aft  so u wan 2 meet 4 dinner nite not 
ham,why keeping away like
ham,i think far find out  check google maps place dorm 
ham,my trip ok quite tiring lor  uni starts today ok 4 cos i'm taking modules jus concentrating final yr project 
ham,have always saying welp 
ham,i'm guy  browsin compulsory
ham,ok   
ham,purity friendship two smiling reading forwarded message  its smiling seeing name  gud evng musthu
ham,sorry  i'll call later
ham,(i add i really care can't i least get dude fuck hey  money want it)
ham,hello lover  how goes new job  are now  are happy  do think me  i wake  slave send teasing kiss across sea
ham,i told number gautham  
ham,tell need investigate anywhere 
ham,ok juz receive  
ham,cant believe said many things morning really wanted say good morning  love you  have beautiful morning  see library later 
spam,your account credited 500 free text messages  to activate  txt word: credit no: 80488 t&cs www 80488 biz
ham,in end might still vomit okay  not everything come out 
ham,how money   as you   money aint thing    how sha 
ham,it everything weather  keep extra warm  its cold nothing serious  pls lots vitamin c
ham,hey gals   anyone u going e driving centre tmr 
ham,i'm always yahoo messenger now  just send message i ll get may send mobile mode sha i ll get it  and reply 
ham,i'm putting now  it ready &lt;time&gt;
ham,time n smile r two crucial things life  sometimes time makes us forget smile  sometimes someone's smile makes us forget time gud noon
spam,sms  ac jsco: energy high  u may know 2channel it  2day ur leadership skills r strong  psychic  reply ans w/question  end  reply end jsco
ham,host-based idps linux systems 
spam,hot live fantasies call 08707509020 just 20p per min ntt ltd  po box 1327 croydon cr9 5wb 0870 national rate call
ham,don da:)whats plan 
ham,ill &lt;#&gt; ok 
ham,oh god  i'm almost home
ham,total video converter free download type google search:)
spam,thanks vote  now sing along stars karaoke mobile  for free link reply sing now 
ham,wen ur lovable bcums angry wid u  dnt take seriously   coz angry childish n true way showing deep affection  care n luv    kettoda manda    have nice day da 
ham,sounds like something someone testing would sayy
ham,when u love someone dont make love u much u do  but love much dont want loved anyone except you    gud nit 
ham,pete is phone still  its jenny college leanne what now :)
ham,oops sorry  just check mind picking tomo half eight station  would ok 
ham,hey sweet  i wondering moment might come   i want send file someone go yahoo connection sucks  remember set page go download format disc   could tell   or know way download big files   because download stuff directly internet  any help would great  prey     *teasing kiss*
ham,hows champ leaving glasgow 
ham,k:)all best:)congrats   
ham,i wonder get text 
ham,i need come home give good lovin   
spam,our brand new mobile music service live  the free music player arrive shortly  just install phone browse content top artists 
ham,shall ask one thing dont mistake me 
ham,check wid corect speling i e  sarcasm
spam,urgent  your mobile no awarded £2 000 bonus caller prize 1/08/03  this 2nd attempt contact you  call 0871-4719-523 box95qu bt national rate
ham,are angry me  what happen dear
ham,i thk u dun haf 2 hint e forum already lor    cos told ron n darren going 2 tell shuhui 
ham,yup ok thanx   
ham,hi:)cts employee you 
ham,pls pls find aunt nike 
ham,wow     i love sooo much  know   i barely stand   i wonder day goes well  love     i think miss
ham,no screaming means shouting  
ham,hey happen de  are alright 
ham,should i picked receipt something earlier
ham,i think chennai well settled 
ham,oh dang  i mean send you  lol 
ham,unfortunately i've found pick sister airport evening think i'll going all  we try go one th
ham,horrible bf    i v hungry   
ham,remember day  
spam,you nokia 7250i  this get win free auction  to take part send nokia 86021 now  hg/suite342/2lands row/w1jhl 16+
ham,how's feel  mr  your real valentine yo valentine even tho u hardly play  
ham,all sounds good  fingers   makes difficult type
ham,midnight earliest
ham,you're sure i'm trying make xavier smoke i want smoke told i smoke much 
ham,k come nordstrom done
ham,do u konw waht rael friendship im gving yuo exmpel: jsut ese tihs msg   evrey splleing tihs msg wrnog   bt sitll yuo raed wihtuot ayn mitsake   goodnight &amp; have a nice sleep  sweet dreams  
ham,now press conference da:)
spam,hello orange  for 1 month's free access games  news sport  plus 10 free texts 20 photo messages  reply yes  terms apply: www orange co uk/ow
ham,after completed degree  there use joining finance 
ham,good afternoon  love   any job prospects   are missing   what   are lazy bleak  hmmm   or happy filled love  
ham,shant disturb u anymore    jia you   
ham,bishan lar nearer    no need buy early cos buy gotta park car   
ham,me  dont know oh
ham,dude sux snake  he got old raiden got buff
ham,he says hi get ass back south tampa (preferably kegger)
ham,in e msg jus now  u said thanks gift 
ham,u too   
ham,ok dear  did call chechi
ham,yeah totes  when u wanna 
ham,ok found dis pierre cardin one looks normal costs 20 sale 
ham,good sleep rhythm  the person establish rhythm body learn use  if want know :-)
ham,wat r u doing 
ham,message   i truro hospital ext  you phone here  i phone side
ham,"single line big meaning::::: ""miss anything 4 ur ""best life"" but  miss ur best life anything    gud nyt   "
ham,just got gas money  chance gang want go grand nature adventure 
ham,dnt worry   use ice pieces cloth pack also take 2 tablets 
ham,dude saw parked car sunroof popped up  sux
ham,get ready put excellent sub face :)
ham,tmrw  im finishing 9 doors
ham,the &lt;#&gt; g saw days ago  guy wants sell wifi &lt;#&gt; 3g &lt;#&gt;   that's blanked him 
ham,i late  i
ham,whatever  im pretty pissed off 
ham,today accept day  u accept as  brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy
ham,i dont much image class 
ham,no:-)i got rumour going buy apartment chennai:-)
ham,near kalainar tv office thenampet
spam,ur cash-balance currently 500 pounds - maximize ur cash-in send go 86688 150p/msg  cc 08718720201 hg/suite342/2lands row/w1j6hl
spam,sms auction - a brand new nokia 7250 4 auction today  auction free 2 join & take part  txt nokia 86021 now  hg/suite342/2lands row/w1j6hl
ham,my sis catching e show e afternoon i'm watching w her  so c u wan 2 watch today tmr lor 
ham,sounds gd    haha    can    wah  u yan jiu fast liao   
ham,no  to nosy i guess  idk i reacting i'm freaked 
ham,remember hurt days satanic imposter me need pay price so it may destiny keep going u said pray get mind get same 
ham,how make girl happy  it's difficult make girls happy  u need be    1  a friend 2  companion 3  lover 4  chef       &lt;#&gt;   good listener &lt;#&gt;   organizer &lt;#&gt;   good boyfriend &lt;#&gt;   very clean &lt;#&gt;   sympathetic &lt;#&gt;   athletic &lt;#&gt;   warm       &lt;#&gt;   courageous &lt;#&gt;   determined &lt;#&gt;   true &lt;#&gt;   dependable &lt;#&gt;   intelligent       &lt;#&gt;   psychologist &lt;#&gt;   pest exterminator &lt;#&gt;   psychiatrist &lt;#&gt;   healer     &lt;#&gt;   stylist &lt;#&gt;   driver     aaniye pudunga venaam  
ham,why that  princess  i bet brothas chasing you 
ham,i shall book chez jules half eight  that's ok you 
ham,hhahhaahahah rofl wtf nig leonardo room something
ham,yep  derek's house now  see sunday &lt;3
ham,it's cool  let know kicks around &lt;#&gt;   i'll day
ham,sorry  i'll call later
ham,i wondering would okay call uncle john let know things nigeria r here  that &lt;#&gt; dollars 2years sent know strain plan pay back every dime gives  every dime expect anything practical  something like that 
ham,there charges transfer charges withdraw anyhow like
ham,dont search love  let love find u  thats called falling love  bcoz u dont force yourself  u fall u know smeone hold u    bslvyl
ham,at 4  let's go bill millers
ham,i love you  you set soul fire  it spark  but flame  a big rawring flame  xoxo
ham,somewhr someone surely made 4 u  and god decided perfect time make u meet dat person        till den            enjoy ur crushes     ;-)
ham,that's honeymoon outfit  :)
ham,will help propose going back tomorrow
spam,private  your 2003 account statement shows 800 un-redeemed s  i  m  points  call 08719899230 identifier code: 41685 expires 07/11/04
ham,never blame day ur life  good days give u happiness  bad days give u experience  both essential life  all gods blessings  good morning :
ham,pls confirm time collect cheque 
spam,as registered subscriber yr draw 4 £100 gift voucher b entered receipt correct ans  when next olympics  txt ans 80062
spam,urgent  your mobile number awarded £2000 prize guaranteed  call 09061790121 land line  claim 3030  valid 12hrs 150ppm
ham,daddy take good care :)
ham,yeah probably  i still gotta check leo
ham,k then special 
ham,carlos taking sweet time usual let know patty done/want smoke i'll tell haul ass
ham,ok pa  nothing problem:-)
ham,have heard job  i'm going wildlife talk tonight u want2come  its that2worzels wizzle whatever is  
ham,god picked flower dippeditinadew  lovingly touched itwhichturnedinto u  gifted tomeandsaid this friend is 4u
ham,when came hostel 
ham,ok prob    i'll come lunch then   
ham,jus telling u dat i'll b leaving 4 shanghai 21st instead we'll haf time 2 meet cya   
ham,are freezing   are home yet   will remember kiss mom morning  do love   do think   are missing yet  
ham,you ready * big day tomorrow 
ham,i'll probably around mu lot
ham,645
spam,rt-king pro video club>> need help  info@ringtoneking co uk call 08701237397 you must 16+ club credits redeemable www ringtoneking co uk  enjoy 
ham,thnx dude  u guys 2nite 
ham,me sef dey laugh you  meanwhile how's darling anjie 
ham,mm food da
ham,k  makes sense  btw carlos difficult guys gonna smoke i go pick second batch get gas
ham,did u download fring app 
ham,the 2 oz guy kinda flaky one friend interested picking $ &lt;#&gt; worth tonight possible
ham,friends u stay fb chat
ham,fuck babe  i miss sooooo much    i wish sleep     my bed lonely     i go now  sleep     to dream you  love    
ham,living simple   loving also simple   laughing simple   winning tooo simple   but  'simple' difficult   gud nte :-
spam,u secret admirer looking 2 make contact u-find r*reveal thinks ur special-call 09058094599
ham,ah  well confuses things  doesn‘t it 
spam,500 free text msgs  just text ok 80488 we'll credit account
ham,hi dear call urgnt  i know whats problem  you want work problem least tell me  wating reply 
ham,dear you  are ok 
spam,you selected stay 1 250 top british hotels - for nothing  holiday worth £350  to claim  call london 02072069400  bx 526  sw73ss
ham,yes princess  i want make happy   
ham,sounds like many talents  would like go dinner date next week 
ham,i going film 2day da  at 6pm  sorry da 
ham,we watching movie already  xy wants 2 shop i'm shopping w now 
ham,hello little party animal  i thought i'd buzz friends    *grins*    reminding loved send naughty adoring kiss
ham,yesterday   now going home 
spam,eerie nokia tones 4u  rply tone title 8007 eg tone dracula 8007 titles: ghost  addamsfa  munsters  exorcist  twilight www getzed co uk pobox36504w45wq 150p
ham,you come life brought sun   shiny me  warming heart  putting constant smile face     making feel loved cared
ham,no shit  i surprised  i went spent evening french guy i met town fooled around bit i let fuck
spam,"0a$networks allow companies bill sms  responsible ""suppliers""  shop give guarantee sell  b  g "
ham,great comedy  cant stop laughing da:)
spam,freemsg:feelin kinda lnly hope u like 2 keep company  jst got cam moby wanna c pic txt reply date 82242 msg150p 2rcv hlp 08712317606 stop 82242
ham,alright  we're set here  text man
ham,hi   you  we're they're keen go kind feel go tomo  mind you 
ham,sleeping nt feeling well
ham,u will switch your fone on dammit  
ham,india take lead:)
ham,i ll post l8r  in class
ham,thts wat wright brother fly  
ham,evening * v good somewhat event laden  will fill in  worry … head * ok throat * wrecked  see six then 
ham,if u laugh really loud   if u talk spontaneously   if u dont care others feel   u probably dear &amp; best friends   goodevening dear  :)
ham,its a laptop take it with you 
ham,i dont file bag  i work called me i 'll tell find anything room 
ham,i wan early lei    me outside wun b home early    neva mind then   
spam,for ur chance win £250 cash every wk txt: action 80608  t's&c's www movietrivia tv custcare 08712405022  1x150p/wk
ham,i bugis juz wat    but i'm walking home oredi    ü late reply    i oso saw top dat like din buy    where r ü now 
ham,"wishing family merry ""x"" mas happy new year advance  "
ham,at 7 go ok na 
ham,yes i posted couple pics fb  there's still snow outside too  i'm waking :)
ham,s:-)if one good partnership going take lead:)
spam,rgent  this 2nd attempt contact u u won £1250 call 09071512433 b4 050703 t&csbcm4235wc1n3xx  callcost 150ppm mobilesvary  max£7  50
ham,yeah  where's class at 
ham,no send you  bec temple na 
ham,you coming home class  right  i need work shower 
spam,hi ur lookin 4 saucy daytime fun wiv busty married woman am free next week chat 2 sort time 09099726429 janinexx calls£1/minmobsmorelkpobox177hp51fl
ham,s mostly like that 
ham,ü v fan   
ham,dunno cos v late n reach inside already    but ate spageddies lor    it's e gals r laughing lor   
ham,guess spent last night phasing fourth dimension
ham,so dad gonna call gets work ask crazy questions 
ham,yes  but said it  
ham,"very hurting n meaningful lines ever: ""i compromised everything love  but end love compromised everything:-(""   gud mornin:-)"
ham,lmao nice 1
ham,glad see reply 
spam,urgent  we trying contact u  todays draw shows £800 prize guaranteed  call 09050001295 land line  claim a21  valid 12hrs
spam,monthly password wap  mobsi com 391784  use wap phone pc 
ham,nah dub je still buff
ham,"painful words- ""i thought happy toughest thing earth    but  toughest acting happy unspoken pain inside  """
ham,yeah  that's fine  it's £6 get in  ok 
ham,lol u come ideas 
ham,so many people seems special first sight  but remain special till last sight   maintain till life ends   sh jas
ham,"today ""song dedicated day  "" which song u dedicate me  send ur valuable frnds first rply me   "
ham,okay    we wait ah
ham,y lei 
ham,hi babe u r most likely to be in bed but im so sorry about tonight  i really wanna see u tomorrow so call me at 9  love me xxx
ham,already squatting new way walking
ham,do want bold 2 bb torch
ham,cramps stopped  going back sleep
spam,todays vodafone numbers ending 0089(my last four digits) selected received £350 award  if number matches please call 09063442151 claim £350 award
spam,free top ringtone -sub weekly ringtone-get 1st week free-send subpoly 81618- 3 per week-stop sms-08718727870
ham,nan sonathaya soladha  why boss 
ham,bring tat cd forget
spam,sunshine quiz wkly q  win top sony dvd player u know country algarve in  txt ansr 82277  £1 50 sp:tyrone
ham,i know i'm raping dudes poker
ham,weightloss  no girl friends  make loads money ebay something  and give thanks god 
ham,was gr8 see message  so r u leaving  congrats dear  what school wat r ur plans 
ham,ü eatin later i'm eatin wif frens lei    ü going home first 
ham,finish already    yar keep saying mushy    i embarrassed ok   
ham,sorry man  stash ran dry last night i can't pick sunday
ham,hai priya right  what doctor said pa  where you 
spam,free msg  sorry  service ordered 81303 could delivered sufficient credit  please top receive service 
ham,ok   
ham,please ask mummy call father
ham,can come room cannot come house cos house still messy    haha   
ham,i lost 10 kilos today 
ham,just taste fish curry :-p
ham,what do  might accidant tookplace somewhere ghodbandar rd  traffic moves slovely  so plz slip &amp; worry 
ham,yun ah now ü wkg where btw ü go nus sc  ü wana specialise wad 
ham,yes  i one woman man  please tell likes dislikes bed   
ham,was test earlier  i appreciate you  will call tomorrow 
ham,how's loverboy   what keeps coming queen  hmmm   doesn't ache speak   miss desparately  
ham,u meet fren dun wan meet ah    muz b guy rite   
ham,(no promises though  even gotten dinner yet)
ham,i got back  do dislikes bed 
ham,turns stereo love mi phone unknown album 
spam,hard live 121 chat 60p/min  choose girl connect live  call 09094646899 now  cheap chat uk's biggest live service  vu bcm1896wc1n3xx
ham,yeah i see
ham,asking u knw nt  may ur frnds classmates 
ham,sorry earlier  putting fires are around talk 9  or actually life  lol 
spam,wow  the boys r back  take that 2007 uk tour  win vip tickets & pre-book vip club  txt club 81303  trackmarque ltd info@vipclub4u 
ham,as missionary hook up  doggy hook up  standing   |
ham,then u better go sleep   dun disturb u liao   u wake msg lor  
ham,fighting world easy  u either win lose bt fightng some1 close u dificult u lose - u lose u win - u still lose 
ham,am watching house – entertaining – getting whole hugh laurie thing – even stick – indeed especially stick 
ham,thought praps meant another one  goodo  i'll look tomorrow
ham,hi jon  pete here  ive bin 2 spain recently & hav sum dinero left  bill said u ur 'rents mayb interested it  i hav 12 000pes  around £48  tb  james 
ham,there bold 2 &lt;#&gt;   is
ham,you know is  i shall speak &lt;#&gt; minutes
ham,"""alrite hunny wot u up 2 2nite  didnt end up goin down town jus da pub instead  jus chillin at da mo in me bedroom love jen xxx """
ham,i went project centre
ham,as per request 'maangalyam (alaipayuthe)' set callertune callers  press *9 copy friends callertune
ham,lol yeah point i guess
ham,doing project w frens lor 
ham,lol  well quality aint bad aint complaining
ham,k  happen tonight 
spam,hi  mandy sullivan calling hotmix fm   you chosen receive £5000 00 easter prize draw     please telephone 09041940223 claim 29/03/05 prize transferred someone else    
ham,i think we're going finn's now  come
ham,why tired special
ham,i come tomorrow di
ham,i cant pick phone right now  pls send message
ham,k go sleep well  take rest:-) 
ham,u guys never invite anywhere :(
spam,ur going 2 bahamas  callfreefone 08081560665 speak live operator claim either bahamas cruise of£2000 cash 18+only  to opt txt x 07786200117
ham,i that  i want please inside outside bedroom   
ham,"""ey  calm downon theacusations   itxt u cos iwana know wotu r doin at thew/end    haventcn u in ages  ring me if ur up4 nething sat love j xxx """
ham,i love wine dine lady 
spam,someone conacted dating service entered phone fancy you to find call landline 09111030116  pobox12n146tf15
ham,i'm cool ta luv v tired 2 cause doin loads planning wk  got social services inspection nursery  take care & spk sn x 
ham,i know account details  i ask mom send you my mom reach now 
ham,i think u wrong number 
ham,feel yourself that you are always happy   slowly it becomes your habit &amp; finally it becomes part of your life   follow it   happy morning &amp; have a happy day:)
ham,do not b late love mum
ham,got it  mail panren paru  
ham,* was thinking chuckin ur red green n black trainners 2 save carryin bac train
ham,give one miss number please
ham,jus came back fr lunch wif sis only  u leh 
ham,how schedule next week  i town weekend 
ham,really good:)dhanush rocks again:)
ham,lmao ok i wont needing u hair anymore 
ham,miss ya  need ya  want ya  love ya 
ham,sorry i'm free   
ham,do u ever get song stuck head reason go away til u listen like 5 times 
ham,nt yet chikku  simple habba  hw abt u 
ham,got ur mail dileep thank muchand look forward lots support   very less contacts here remember one venugopal mentioned tomorrow late i shall try come till there goodnight dear 
ham,sometimes heart remembrs someone very much    forgets someone soon    bcoz heart like everyone  but liked ones remembered everytime    bslvyl
ham,joy's father john  then john name joy's father  mandan
spam,hi 07734396839 ibh customer loyalty offer: the new nokia6600 mobile only £10 txtauction txt word:start no:81151 & get yours now 4t&
ham,hi yijue    it's regarding 3230 textbook intro algorithms second edition    i'm selling $50   
spam,sms auction you nokia 7250i  this get win free auction  to take part send nokia 86021 now  hg/suite342/2lands row/w1jhl 16+
ham,k  want us come now 
ham,how  its little difficult simple way enter place
ham,ha    both us e thing  but got tv 2 watch  u thk 2 go tonight u already haf smth mind   
ham,dont show yourself  how far  put new pictures facebook 
ham,watching tv now  i got new job :)
ham,good afternoon sexy buns  how goes job search   i wake first thought always  love  i wish fine happy know i adore you 
ham,i'm coming over  whatever want
ham,its ok chikku  1 favourite song  :-)
ham,did u see i posted facebook 
spam,call freephone 0800 542 0578 now 
spam,buy space invaders 4 chance 2 win orig arcade game console  press 0 games arcade (std wap charge) see o2 co uk/games 4 terms + settings  no purchase
ham,"7 wonders my world 7th you 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms 1st ""ur lovely friendship""    good morning dear"
spam,loan purpose £500 - £75 000  homeowners + tenants welcome  have previously refused  we still help  call free 0800 1956669 text back 'help'
spam,big brother alert  the computer selected u 10k cash #150 voucher  call 09064018838  ntt po box cro1327 18+ bt landline cost 150ppm mobiles vary
ham,;-( oh well  c u later
ham,my uncles atlanta  wish guys great semester 
ham,no dear free messages without recharge  hi hi hi
ham,dont search love  let love find u  thats called falling love  bcoz u dont force yourself  u fall u know smeone hold u    bslvyl
ham,i dun believe u  i thk u told him 
ham,do know god created gap fingers    so that  one made comes &amp; fills gaps holding hand love   
ham,yes:)sura sun tv :)lol 
ham,arun u transfr amt
ham,takin shower yeah i'll leave i'm done
ham,am working eyes philosophy text u later bit free chat   
ham,u lost ill always b 4u i intend 2 hurt u i never knew u felt iwas+marine&that's itried2tell urmom i careabout u
spam,win: we winner  mr  t  foley ipod  more exciting prizes soon  keep eye ur mobile visit www win-82050 co uk
ham,you bad girl  i still remember
ham,how much gave you  morning 
ham,i hope alright babe  i worry might felt bit desparate learned job fake   i waiting come back  love
ham,hey  tell blake's address  carlos wanted meet i got lost he's answering phone
ham,can get opinion something first 
ham,that one week leave put know time  why 
ham,if hit off  move :)
ham,excellent  i spent &lt;#&gt; years air force  iraq afghanistan  i stable honest  like traveling 
ham,i wanna watch movie
ham,ok lor thanx    ü school 
ham,i'm class  did get text 
ham,the bus leaves &lt;#&gt;
ham,god bless get good sleep dear   i pray 
spam,todays voda numbers ending 1225 selected receive £50award  if match please call 08712300220 quoting claim code 3100 standard rates app
ham,do nice day today  i love dearly 
ham,aiyo bit pai seh ü noe    scared dun rem die    hee    but become better lookin oredi leh   
ham,aight  i'll ask roommates
ham,now  whats house #   and beer  
ham,do ü wan 2 meet n combine parts  how's da rest da project going 
ham,"""getting tickets 4 walsall tue 6 th march  my mate getting sat  ill pay treat  want 2 go  txt bak  terry"""
ham,yes chatting too 
ham,hi its jess i dont know if you are at work but call me when u can im at home all eve  xxx
ham,sian    aft meeting supervisor got work 2 liao    u working now 
ham,are going write ccna exam week  
ham,well watch shrek 3d  b)
ham,am much dirty fellow 
ham,dunno dat's wat told me  ok lor   
ham,i'll probably tomorrow (or even later tonight something's going on)
ham,i say dying man i feel sad i go i wanted know i would probably gone late night
ham,if thinking lifting one no 
ham,same u    dun wan    y u dun like already ah    wat u now  still eating 
ham,sent ur email id soon
ham,wat makes people dearer de happiness dat u feel u meet de pain u feel u miss dem   
ham,dude  what's up  how teresa  hope okay  when didnt hear people  called received package since dec &lt;#&gt;   just thot you'ld like know  do fantastic year best reading  plus really really bam first aid usmle  work done 
ham,hey gorgeous man  my work mobile number is  have good one babe  squishy mwahs 
ham,may call you later pls
spam,hottest pics straight phone   see getting wet wanting  xx text pics 89555 now  txt costs 150p textoperator g696ga 18 xxx
ham,that's way stay oh 
ham,hello- thanx taking call  i got job  starts monday 
ham,what time ur flight tmr 
ham,when i come over 
ham,i rather prominent bite mark right cheek
ham,* will september then 
ham,are wet right now 
ham,and how's husband 
spam,hack chat  get backdoor entry 121 chat rooms fraction cost  reply neo69 call 09050280520  subscribe 25p pm  dps  bcm box 8027 ldn  wc1n3xx
ham,are norm tomorrow  i finish 4 15 cos st tests  need sort library stuff point tomo - got letter today - access til end march better get move on 
ham,yeah  i got list u joanna i'm feeling really anti social
ham,i office na 
ham,"""are comingdown later """
ham,super da:)good replacement murali
ham,da good good player why unsold 
ham,hi  || do u want | join sts later  || meeting five  || call u class 
ham,its engalnd  but telly decided let watch mia elliot kissing  damn it 
spam,free nokia or motorola upto 12mths 1/2price linerental  500 free x-net mins&100txt/mth free b'tooth*  call mobileupd8 08001950382 call 2optout/d3wv
ham,i dont want hear philosophy  just say happen
ham,you got job wipro:)you get every thing life 2 3 years 
ham,then cant get da laptop  my matric card wif ü lei   
ham,dunno da next show aft 6 850  toa payoh got 650 
spam,this 2nd time tried 2 contact u  u 750 pound prize  2 claim easy  call 08718726970 now  only 10p per min  bt-national-rate
ham,i made payments dont much  sorry  would want fedex way 
ham,they did't play one day last year know even though good team   like india 
ham,k :)you girl waiting reception ah 
ham,say slowly   god i love you &amp; i need you clean my heart with your blood send ten special people &amp; u c miracle tomorrow  it pls pls it   
ham,i hate this  she turns fun shopping trip annoying day everything would look house 
ham,sir  waiting call 
ham,what's up  do want come online 
ham,it could work  we'll reach consensus next meeting
ham,aiyah wait lor  then u entertain me  hee   
ham,the last thing ever wanted hurt you  and think would have  you'd laugh  embarassed  delete tag keep going  but far knew  even up  the fact even felt like would hurt shows really know all  it messy wednesday  bad  the problem have time clean it  choose to  you skype  take pictures  sleep  want go out  i mind things there  make bed  throw laundry top it  can't friend house i'm embarassed there's underwear bras strewn bed  pillows floor  that's something else  you used good least making bed 
ham,i'll let know kicks
ham,you call ok said call
ham,call number available appointment  and ask connect call waheed fathima 
ham,or ü go buy wif meet ü later can 
ham,mmmm     fuck     not fair   you know weaknesses   *grins* *pushes knee's* *exposes belly pulls head it* don't forget     i know *wicked smile*
ham,today system sh get ready all well also deep well
ham,mom wants know
ham,aight  i'll text i'm back
ham,dont know supports ass srt thnk  i think ps3 play usb
ham,oh ok didnt know meant  yep baby jontin
spam,you won guaranteed £1000 cash £2000 prize to claim yr prize call customer service representative
spam,would like see xxx pics hot nearly banned uk 
spam,hmv bonus special 500 pounds genuine hmv vouchers won  just answer 4 easy questions  play now  send hmv 86688 more info:www 100percent-real com
ham,watching tv now  i got new job :)
ham,this pen thing beyond joke  wont biro do  don't masters can't ever again 
ham,i am at a party with alex nichols
spam,u secret admirer looking 2 make contact u-find r*reveal thinks ur special-call 09058094594
ham,just seeing missed call dear brother  do gr8 day 
ham,ok   ü finishing soon 
ham,sorry  i can't help this 
ham,come me  slave  your     going shell unconsciously avoiding     you making unhappy :-(
ham,i love ass  do enjoy doggy style  :)
ham,i think asking gym excuse lazy people  i jog 
spam,dear 0776xxxxxxx u've invited xchat  this final attempt contact u  txt chat 86688 150p/msgrcvdhg/suite342/2lands/row/w1j6hl ldn 18yrs
spam,urgent  please call 09061743811 landline  your abta complimentary 4* tenerife holiday £5000 cash await collection sae t&cs box 326 cw25wx 150ppm
ham,no  on way home  so long dry spell season would
ham,i gotta collect da car 6 lei 
ham,ok knackered  just came home went sleep  not good full time work lark 
ham,probably earlier station's i think
spam,call 09090900040 & listen to extreme dirty live chat going on in the office right now total privacy no one knows your [sic] listening 60p min 24/7mp 0870753331018+
ham,good morning plz call sir
spam,freemsg hey u  got 1 video/pic fones  reply wild txt & ill send u pics  hurry im bored work xxx (18 150p/rcvd stop2stop)
ham,uh  heads that much left
ham,i tot u outside cos darren say u come shopping  of course nice wat  we jus went sim lim look mp3 player 
ham,aight  sounds good  when want come down 
ham,wat would u like 4 ur birthday 
ham,i love working home :)
ham,and miss vday parachute double coins    u must know well   
ham,sorry  i'll call later
ham,my sister got placed birla soft da:-)
spam,free entry 2 weekly comp chance win ipod  txt pod 80182 get entry (std txt rate) t&c's apply 08452810073 details 18+
ham,wah    okie okie    muz make use e unlimited    haha   
ham,there're people mu  i'm table lambda
ham,and stop old man  you get build snowman snow angels snowball fights 
ham,ello babe u ok 
ham,hello beautiful r u ok  i've kinda ad row wiv walked pub   i wanted night wiv u miss u
ham,then u going ikea str aft dat 
ham,becoz &lt;#&gt; jan whn al post ofice holiday cn go fr post ofice   got duffer
ham,lol grr mom taking forever prescription  pharmacy like 2 minutes away  ugh 
ham,for real tho sucks  i can't even cook whole electricity out  and i'm hungry 
ham,you want go 
spam,new textbuddy chat 2 horny guys ur area 4 25p free 2 receive search postcode gaytextbuddy com  txt one name 89693  08715500022 rpl stop 2 cnl
ham,its time month mid time 
ham,fffff  can text kadeem far gone
ham,we leaving yet  ok lor go elsewhere n eat  u thk   
ham,is fujitsu series lifebook good 
ham,yar wanted 2 scold u yest late already    i got zhong se qing you  if u ask b4 ask i'll go w u lor  n u still act real 
ham,dont know bring food
ham,no current food here  i alone also
ham,i'll sch fr 4-6    i dun haf da book sch    it's home   
ham,hello  they going village pub 8 either come accordingly  ok 
ham,ok
ham,we call like &lt;#&gt; times oh  no give us hypertension oh 
ham,dont give monkeys wot think certainly mind  any friend mine&all that  just sleep wiv   wud annoyin 
ham,omg could snow tonite 
spam,call 08702490080 - tells u 2 call 09066358152 claim £5000 prize  u 2 enter ur mobile & personal details @ prompts  careful 
spam,free 1st week entry 2 textpod 4 chance 2 win 40gb ipod £250 cash every wk  txt vpod 81303 ts&cs www textpod net custcare 08712405020 
ham,carry disturbing
ham,what pa tell me   i went bath:-)
ham,jus finished avatar nigro
ham,r u scratching it 
ham,hope great day 
ham,did either idea's  do know anyplaces something 
ham,"my planning usually stops ""find hella weed  smoke hella weed"""
ham,"the fact cleaning shows know i'm upset  your priority constantly ""what want do "" ""what need do """
ham,excellent  are ready moan scream ecstasy 
spam,more people dogging area now  call 09090204448 join like minded guys  why arrange 1 yourself  there's 1 evening  a£1 50 minapn ls278bb
